Mon Aug 24 20:17:54 2020

arraySize_param = 80
mseThreshold_param = 0.002
publish_rate = 10

prevInputArraySize: 0, newInputArraySize: 5, truncatedArraySize: 80
prevInputArraySize: 5, newInputArraySize: 5, truncatedArraySize: 80
prevInputArraySize: 5, newInputArraySize: 5, truncatedArraySize: 80
prevInputArraySize: 5, newInputArraySize: 5, truncatedArraySize: 80
prevInputArraySize: 5, newInputArraySize: 5, truncatedArraySize: 80
prevInputArraySize: 5, newInputArraySize: 6, truncatedArraySize: 80
prevInputArraySize: 6, newInputArraySize: 6, truncatedArraySize: 80
prevInputArraySize: 6, newInputArraySize: 6, truncatedArraySize: 80
prevInputArraySize: 6, newInputArraySize: 6, truncatedArraySize: 80
prevInputArraySize: 6, newInputArraySize: 6, truncatedArraySize: 80
prevInputArraySize: 6, newInputArraySize: 6, truncatedArraySize: 80
prevInputArraySize: 6, newInputArraySize: 7, truncatedArraySize: 80
prevInputArraySize: 7, newInputArraySize: 7, truncatedArraySize: 80
prevInputArraySize: 7, newInputArraySize: 7, truncatedArraySize: 80
prevInputArraySize: 7, newInputArraySize: 7, truncatedArraySize: 80
prevInputArraySize: 7, newInputArraySize: 7, truncatedArraySize: 80
prevInputArraySize: 7, newInputArraySize: 7, truncatedArraySize: 80
prevInputArraySize: 7, newInputArraySize: 8, truncatedArraySize: 80
prevInputArraySize: 8, newInputArraySize: 8, truncatedArraySize: 80
prevInputArraySize: 8, newInputArraySize: 8, truncatedArraySize: 80
prevInputArraySize: 8, newInputArraySize: 8, truncatedArraySize: 80
prevInputArraySize: 8, newInputArraySize: 8, truncatedArraySize: 80
prevInputArraySize: 8, newInputArraySize: 8, truncatedArraySize: 80
prevInputArraySize: 8, newInputArraySize: 9, truncatedArraySize: 80
prevInputArraySize: 9, newInputArraySize: 9, truncatedArraySize: 80
prevInputArraySize: 9, newInputArraySize: 9, truncatedArraySize: 80
prevInputArraySize: 9, newInputArraySize: 9, truncatedArraySize: 80
prevInputArraySize: 9, newInputArraySize: 9, truncatedArraySize: 80
prevInputArraySize: 9, newInputArraySize: 9, truncatedArraySize: 80
prevInputArraySize: 9, newInputArraySize: 10, truncatedArraySize: 80
prevInputArraySize: 10, newInputArraySize: 10, truncatedArraySize: 80
prevInputArraySize: 10, newInputArraySize: 10, truncatedArraySize: 80
prevInputArraySize: 10, newInputArraySize: 10, truncatedArraySize: 80
prevInputArraySize: 10, newInputArraySize: 10, truncatedArraySize: 80
prevInputArraySize: 10, newInputArraySize: 10, truncatedArraySize: 80
prevInputArraySize: 10, newInputArraySize: 11, truncatedArraySize: 80
prevInputArraySize: 11, newInputArraySize: 11, truncatedArraySize: 80
prevInputArraySize: 11, newInputArraySize: 11, truncatedArraySize: 80
prevInputArraySize: 11, newInputArraySize: 11, truncatedArraySize: 80
prevInputArraySize: 11, newInputArraySize: 11, truncatedArraySize: 80
prevInputArraySize: 11, newInputArraySize: 11, truncatedArraySize: 80
prevInputArraySize: 11, newInputArraySize: 12, truncatedArraySize: 80
prevInputArraySize: 12, newInputArraySize: 12, truncatedArraySize: 80
prevInputArraySize: 12, newInputArraySize: 12, truncatedArraySize: 80
prevInputArraySize: 12, newInputArraySize: 12, truncatedArraySize: 80
prevInputArraySize: 12, newInputArraySize: 12, truncatedArraySize: 80
prevInputArraySize: 12, newInputArraySize: 12, truncatedArraySize: 80
prevInputArraySize: 12, newInputArraySize: 13, truncatedArraySize: 80
prevInputArraySize: 13, newInputArraySize: 13, truncatedArraySize: 80
prevInputArraySize: 13, newInputArraySize: 13, truncatedArraySize: 80
prevInputArraySize: 13, newInputArraySize: 13, truncatedArraySize: 80
prevInputArraySize: 13, newInputArraySize: 13, truncatedArraySize: 80
prevInputArraySize: 13, newInputArraySize: 13, truncatedArraySize: 80
prevInputArraySize: 13, newInputArraySize: 14, truncatedArraySize: 80
prevInputArraySize: 14, newInputArraySize: 14, truncatedArraySize: 80
prevInputArraySize: 14, newInputArraySize: 14, truncatedArraySize: 80
prevInputArraySize: 14, newInputArraySize: 14, truncatedArraySize: 80
prevInputArraySize: 14, newInputArraySize: 14, truncatedArraySize: 80
prevInputArraySize: 14, newInputArraySize: 14, truncatedArraySize: 80
